0,1,0,
1,2,1,
1,3,2,
1,4,3,
2,5,1,
2,6,2,
2,7,3,
2,8,4,
3,9,1,
3,10,2,
4,11,1,
4,12,2,
6,13,1,
6,14,2,
6,15,3,
7,16,1,
7,17,2,
7,18,3,
8,19,1,
8,20,2,
8,21,3,
9,22,1,
9,23,2,
10,24,1,
10,25,2,
11,26,1,
11,27,2,
12,28,1,
12,29,2,
13,30,1,
13,31,2,
13,32,3,
14,33,1,
14,34,2,
16,35,1,
16,36,2,
16,37,3,
17,38,1,
17,39,2,
19,40,1,
19,41,2,
19,42,3,
22,43,1,
22,44,2,
23,45,1,
23,46,2,
24,47,1,
24,48,2,
25,49,1,
25,50,2,
25,51,3,
25,52,4,
25,53,5,
26,54,1,
26,55,2,
26,56,3,
27,57,1,
27,58,2,
28,59,1,
28,60,2,
28,61,3,
29,62,1,
29,63,2,
43,64,1,
43,65,2,
44,66,1,
44,67,2,
45,68,1,
45,69,2,
46,70,1,
46,71,2,
49,72,1,
49,73,2,
62,74,1,
62,75,2,
64,76,1,
64,77,2,
68,78,1,
68,79,2,
70,80,1,
70,81,2,
78,82,1,
78,83,2,
79,84,1,
79,85,2,
80,86,1,
80,87,2,
81,88,1,
81,89,2,
82,90,1,
82,91,2,
87,92,1,
87,93,2,
